year|bib|age_group|gender|country|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|F7140|45-49|W|MEX|8910|1504|2556.0|6002.0|8960.0|11860.0|12570.0|14894.0|17795.0|20773.0|NaN|25284.0
 2015|F2966|40-44|W|USA|8909|1585|2373.0|5025.0|7884.0|11028.0|11717.0|14238.0|17342.0|20498.0|23821.0|25156.0
 2015|F6764|40-44|W|INA|8908|1584|2561.0|5473.0|8590.0|11471.0|12187.0|14497.0|17458.0|20459.0|23310.0|24637.0
 2015|F4823|55-59|W|GER|8907|496|2628.0|5344.0|8123.0|10936.0|11573.0|13894.0|17078.0|19995.0|23156.0|24471.0
 2015|F2770|35-39|W|COL|8906|1296|2591.0|5322.0|7956.0|10680.0|11324.0|13637.0|16759.0|19549.0|NaN|24275.0
 2015|F2152|55-59|W|FRA|8905|495|2295.0|4865.0|7622.0|10533.0|11181.0|13563.0|16620.0|19631.0|NaN|24246.0
 2015|F772|45-49|W|INA|8904|1503|2337.0|4894.0|7647.0|10389.0|11024.0|13400.0|16346.0|19394.0|NaN|24239.0
 2015|F11085|45-49|W|GBR|8903|1502|2207.0|4881.0|7721.0|10744.0|11364.0|13699.0|16718.0|19734.0|NaN|24235.0
 2015|F2172|45-49|W|HKG|8902|1501|2472.0|5012.0|7599.0|10498.0|11133.0|13542.0|16617.0|19441.0|NaN|24027.0
 2015|F4724|40-44|W|GBR|8901|1583|2442.0|4936.0|7648.0|10488.0|11158.0|13496.0|16410.0|19393.0|NaN|23938.0
 2015|F9375|65-69|W|NZL|8900|54|2244.0|4920.0|7463.0|10342.0|10993.0|13365.0|16436.0|19649.0|NaN|23934.0
 2015|F7002|55-59|W|CAN|8899|494|2082.0|4382.0|6736.0|9370.0|9986.0|12289.0|15577.0|19028.0|NaN|23906.0
 2015|F2258|H|W|GER|8898|1283|2223.0|4718.0|7338.0|10182.0|10842.0|13262.0|16421.0|19488.0|NaN|23823.0
 2015|F9211|45-49|W|GBR|8897|1500|2141.0|4471.0|7366.0|10591.0|11202.0|13696.0|16918.0|19926.0|22615.0|23732.0
 2015|F3382|45-49|W|GBR|8896|1499|2370.0|4807.0|7282.0|10141.0|10862.0|13231.0|16242.0|19233.0|NaN|23694.0
 2015|F3913|60-64|W|USA|8895|199|2361.0|4842.0|7518.0|10363.0|10979.0|13266.0|16167.0|NaN|NaN|23637.0
 2015|F485|45-49|W|GER|8894|1498|2673.0|5423.0|8074.0|10686.0|11268.0|13377.0|16217.0|19036.0|22154.0|23601.0
 2015|F10280|30-34|W|USA|8893|1338|2451.0|5242.0|7993.0|10736.0|11320.0|13535.0|16406.0|19244.0|NaN|23577.0
 2015|F4457|45-49|W|GER|8892|1497|2450.0|4998.0|7714.0|10543.0|11164.0|13403.0|16293.0|19249.0|22254.0|23551.0
 2015|F4665|40-44|W|FIN|8891|1582|2509.0|5390.0|8040.0|10798.0|11364.0|13594.0|16422.0|19294.0|22272.0|23534.0
 2015|F2184|30-34|W|TPE|8890|1337|1863.0|3959.0|6996.0|10280.0|11007.0|13164.0|16359.0|19488.0|22256.0|23524.0
 2015|F7337|45-49|W|GBR|8889|1496|2638.0|5311.0|8052.0|10815.0|11421.0|13619.0|16530.0|19411.0|NaN|23522.0
