year|bib|age_group|gender|city|state|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2017|64847|70-74|M|Harpursville|NY|USA|44347|22824|90|3086.0|6377.0|10108.0|14457.0|15426.0|18770.0|23016.0|NaN|NaN|35214.0
 2017|40868|40-44|M|Joliet|IL|USA|44340|22823|3832|2947.0|6132.0|9586.0|NaN|14527.0|NaN|22069.0|NaN|NaN|33152.0
 2017|1356|75-79|M|Chicago|IL|USA|44335|22822|13|3177.0|6531.0|9911.0|13508.0|14320.0|17295.0|21320.0|NaN|30114.0|31756.0
 2017|45769|40-44|M|Hometown|IL|USA|44332|22821|3831|2741.0|5926.0|8922.0|NaN|12940.0|NaN|19983.0|NaN|NaN|31629.0
 2017|57718|50-54|M|Round Lake Beach|IL|USA|44326|22820|2335|2651.0|5521.0|8782.0|12098.0|12759.0|NaN|NaN|NaN|NaN|31276.0
 2017|57624|35-39|M|Chicago|IL|USA|44325|22819|3812|2337.0|4794.0|7411.0|NaN|NaN|NaN|19429.0|NaN|NaN|31253.0
 2017|21122|45-49|M|Los Angeles|CA|USA|44324|22818|3450|2337.0|4794.0|7413.0|NaN|NaN|NaN|19430.0|NaN|NaN|31247.0
 2017|18122|45-49|M|Chicago|IL|USA|44320|22817|3449|3164.0|6281.0|9613.0|13009.0|13866.0|16606.0|20427.0|NaN|28801.0|30760.0
 2017|1042|35-39|M|Chicago|IL|NGR|44316|22816|3811|4026.0|7530.0|11071.0|14750.0|15682.0|18452.0|21825.0|NaN|29061.0|30571.0
 2017|49710|60-64|M|Calamba City Laguna||PHI|44313|22815|719|3033.0|NaN|9316.0|NaN|NaN|NaN|NaN|NaN|NaN|30436.0
 2017|34270|35-39|M|Rockville|MD|USA|44303|22814|3810|2272.0|4930.0|7855.0|11051.0|11823.0|14781.0|18762.0|NaN|27907.0|29995.0
 2017|41348|30-34|M|Aurora|IL|USA|44301|22813|3342|2007.0|4442.0|7110.0|11341.0|13262.0|16012.0|20271.0|NaN|NaN|29973.0
 2017|63120|50-54|M|Chicago|IL|USA|44300|22812|2334|2543.0|5211.0|8144.0|11360.0|12088.0|NaN|18978.0|NaN|NaN|29971.0
 2017|61551|70-74|M|Beach Park|IL|USA|44289|22811|89|2521.0|5232.0|8273.0|NaN|12571.0|NaN|19655.0|NaN|NaN|29547.0
 2017|44523|55-59|M|Papillion|NE|USA|44285|22810|1399|7292.0|10032.0|12709.0|15585.0|16225.0|18658.0|21736.0|24884.0|28201.0|29520.0
 2017|31030|50-54|M|Homewood|IL|USA|44277|22809|2333|2747.0|5658.0|8663.0|11969.0|12707.0|15621.0|19560.0|NaN|27675.0|29413.0
 2017|58796|30-34|M|Chicago|IL|USA|44275|22808|3341|2414.0|4964.0|7676.0|10632.0|11306.0|14072.0|17638.0|NaN|NaN|29352.0
 2017|46697|65-69|M|Chicago|IL|USA|44269|22807|290|2813.0|5842.0|9155.0|NaN|NaN|NaN|17941.0|NaN|NaN|29285.0
 2017|43974|45-49|M|Hamilton|NY|USA|44265|22806|3448|3071.0|6064.0|9190.0|NaN|NaN|NaN|19742.0|NaN|NaN|29223.0
 2017|53998|70-74|M|Carolina Beach|NC|USA|44264|22805|88|3071.0|6064.0|9190.0|NaN|NaN|NaN|19741.0|NaN|NaN|29223.0
 2017|53623|40-44|M|Haverstraw|NY|USA|44263|22804|3830|2730.0|5571.0|NaN|NaN|12636.0|NaN|NaN|NaN|NaN|29219.0
 2017|64925|20-24|M|Guatemala||GUA|44257|22803|850|2252.0|5022.0|8072.0|11402.0|12200.0|15383.0|19188.0|23344.0|27786.0|29164.0
 2017|57961|40-44|M|Round Lake|IL|USA|44245|22802|3829|2580.0|5486.0|8355.0|NaN|12530.0|NaN|18773.0|NaN|NaN|29020.0
 2017|50707|40-44|M|Des Plaines|IL|USA|44241|22801|3828|2502.0|5278.0|8266.0|11823.0|12606.0|15285.0|19055.0|NaN|NaN|28984.0
 2017|55584|25-29|M|Palos Hills|IL|USA|44237|22800|2558|2625.0|5863.0|8645.0|11853.0|12535.0|NaN|18987.0|NaN|NaN|28941.0
 2017|62845|40-44|M|Brookfield|IL|SRB|44236|22799|3827|3218.0|NaN|9337.0|NaN|NaN|NaN|19748.0|NaN|NaN|28938.0
 2017|64684|35-39|M|Chicago|IL|USA|44233|22798|3809|2931.0|5937.0|8974.0|NaN|NaN|NaN|19690.0|NaN|NaN|28914.0
 2017|48608|55-59|M|Elgin|IL|USA|44232|22797|1398|2731.0|5619.0|8660.0|NaN|12898.0|NaN|19681.0|NaN|NaN|28907.0
 2017|57373|45-49|M|Merrillville|IN|USA|44228|22796|3447|2724.0|5702.0|8955.0|12388.0|13204.0|15864.0|19430.0|23202.0|27106.0|28889.0
 2017|56921|40-44|M|Chicago|IL|USA|44224|22795|3826|2418.0|5037.0|7898.0|11228.0|12075.0|14979.0|18821.0|NaN|NaN|28804.0
