year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2015|26|18-39|M|BEL|30|21|21|989.0|1995.0|3012.0|4040.0|4261.0|5082.0|6141.0|7204.0|8287.0|8752.0
 2015|25|18-39|M|CRC|20|20|20|957.0|1915.0|2896.0|3884.0|4100.0|4866.0|5893.0|6940.0|8007.0|8491.0
 2015|22|18-39|M|SUI|19|19|19|959.0|1915.0|2896.0|3884.0|4096.0|4856.0|5834.0|6801.0|7784.0|8220.0
 2015|20|18-39|M|TUR|18|18|18|957.0|1914.0|2879.0|3858.0|4075.0|4845.0|5829.0|6800.0|7752.0|8166.0
 2015|27|18-39|M|GBR|17|17|17|946.0|1886.0|2854.0|3810.0|4021.0|4764.0|5716.0|6698.0|7715.0|8160.0
 2015|21|18-39|M|POR|16|16|16|912.0|1823.0|2748.0|3683.0|3888.0|4616.0|5598.0|6609.0|7671.0|8153.0
 2015|16|18-39|M|NED|15|15|15|916.0|1854.0|2805.0|3741.0|3947.0|4684.0|5649.0|6628.0|7620.0|8065.0
 2015|23|18-39|M|SRI|14|14|14|946.0|1886.0|2853.0|3810.0|4021.0|4764.0|5713.0|6665.0|7616.0|8027.0
 2015|17|18-39|M|GBR|13|13|13|915.0|1854.0|2805.0|3742.0|3946.0|4683.0|5623.0|6584.0|7561.0|7993.0
 2015|18|18-39|M|AUS|12|12|12|915.0|1854.0|2805.0|3741.0|3946.0|4682.0|5616.0|6549.0|7470.0|7879.0
 2015|3|18-39|M|KEN|11|11|11|872.0|1755.0|2644.0|3541.0|3740.0|4446.0|5398.0|6381.0|7405.0|7854.0
 2015|12|18-39|M|UKR|10|10|10|912.0|1824.0|2748.0|3684.0|3888.0|4613.0|5552.0|6484.0|7418.0|7821.0
 2015|13|18-39|M|RUS|9|9|9|912.0|1823.0|2747.0|3683.0|3887.0|4611.0|5551.0|6476.0|7403.0|7810.0
 2015|14|18-39|M|ERI|8|8|8|899.0|1782.0|2686.0|3594.0|3795.0|4515.0|5452.0|6393.0|7350.0|7776.0
 2015|19|18-39|M|ESP|7|7|7|912.0|1823.0|2748.0|3683.0|3888.0|4612.0|5550.0|6467.0|7372.0|7773.0
 2015|7|18-39|M|KEN|6|6|6|872.0|1755.0|2645.0|3541.0|3740.0|4444.0|5336.0|6244.0|7211.0|7663.0
 2015|10|18-39|M|ETH|5|5|5|872.0|1755.0|2645.0|3541.0|3740.0|4444.0|5336.0|6243.0|7183.0|7638.0
 2015|9|18-39|M|KEN|4|4|4|872.0|1755.0|2644.0|3542.0|3740.0|4444.0|5336.0|6243.0|7141.0|7601.0
 2015|2|18-39|M|KEN|3|3|3|872.0|1755.0|2645.0|3542.0|3740.0|4446.0|5336.0|6242.0|7139.0|7551.0
 2015|1|18-39|M|KEN|2|2|2|872.0|1755.0|2645.0|3541.0|3740.0|4444.0|5336.0|6243.0|7110.0|7487.0
 2015|4|18-39|M|KEN|1|1|1|872.0|1755.0|2644.0|3541.0|3740.0|4443.0|5336.0|6242.0|7109.0|7482.0
