year|bib|age_group|gender|country|overall|rank_gender|rank_age_group|5k|10k|15k|20k|half|25k|30k|35k|40k|finish
 2016|113|18-39|W|RSA|46|19|19|1066.0|2146.0|3240.0|4339.0|4581.0|5445.0|6592.0|7783.0|9026.0|9584.0
 2016|112|18-39|W|GBR|45|18|18|1038.0|2103.0|3188.0|4299.0|4544.0|5394.0|6534.0|7728.0|8956.0|9472.0
 2016|121|18-39|W|AUS|44|17|17|1039.0|2103.0|3175.0|4236.0|4469.0|5296.0|6378.0|7509.0|8682.0|9216.0
 2016|122|18-39|W|GBR|43|16|16|1038.0|2103.0|3188.0|4299.0|4543.0|5393.0|6479.0|7567.0|8681.0|9168.0
 2016|119|18-39|W|RSA|42|15|15|1039.0|2103.0|3165.0|4229.0|4462.0|5286.0|6377.0|7505.0|8635.0|9140.0
 2016|111|18-39|W|GBR|41|14|14|1038.0|2103.0|3188.0|4299.0|4543.0|5393.0|6479.0|7550.0|8638.0|9120.0
 2016|114|18-39|W|GBR|40|13|13|1038.0|2103.0|3188.0|4299.0|4543.0|5393.0|6479.0|7550.0|8637.0|9112.0
 2016|118|18-39|W|USA|39|12|12|1038.0|2102.0|3166.0|4229.0|4462.0|5286.0|6364.0|7458.0|8550.0|9006.0
 2016|115|18-39|W|POL|38|11|11|1029.0|2077.0|3135.0|4201.0|4434.0|5259.0|6333.0|7418.0|8509.0|8987.0
 2016|109|18-39|W|POR|37|10|10|1036.0|2083.0|3135.0|4251.0|4478.0|5283.0|6333.0|7408.0|8472.0|8933.0
 2016|102|18-39|W|KEN|35|9|9|991.0|1963.0|3005.0|4023.0|4245.0|5053.0|6100.0|7173.0|8306.0|8910.0
 2016|106|18-39|W|KEN|34|8|8|1003.0|2024.0|3055.0|4097.0|4326.0|5132.0|6191.0|7270.0|8368.0|8847.0
 2016|107|18-39|W|ETH|33|7|7|992.0|1964.0|3006.0|4024.0|4245.0|5053.0|6100.0|7166.0|8190.0|8703.0
 2016|105|18-39|W|ETH|32|6|6|991.0|1963.0|3006.0|4024.0|4245.0|5053.0|6099.0|7165.0|8160.0|8649.0
 2016|103|18-39|W|ETH|31|5|5|991.0|1964.0|3006.0|4024.0|4245.0|5054.0|6100.0|7171.0|8199.0|8637.0
 2016|110|18-39|W|BLR|30|4|4|1036.0|2089.0|3130.0|4176.0|4399.0|5187.0|6193.0|7200.0|8206.0|8634.0
 2016|104|18-39|W|KEN|28|3|3|992.0|1963.0|3005.0|4024.0|4245.0|5053.0|6099.0|7165.0|8174.0|8619.0
 2016|101|18-39|W|ETH|27|2|2|991.0|1963.0|3006.0|4024.0|4245.0|5053.0|6099.0|7166.0|8141.0|8583.0
 2016|108|18-39|W|KEN|26|1|1|991.0|1963.0|3005.0|4024.0|4245.0|5053.0|6100.0|7169.0|8141.0|8578.0
